"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
46,19.6,51.4,7.3,39,209,"C",25.5
24,15.1,46.6,10.7,54,251,"C",22.6
25,21.4,39.7,14.1,45,158,"C",26
51,21.8,49,11.7,29,207,"C",25.4
42,21.5,44.7,18.2,34,206,"C",24.1
42,22.4,41,10.6,57,209,"C",24.4
26,24.1,38.1,16.6,38,191,"C",24
26,12.2,46.3,5.7,51,226,"C",22.3
21,22.6,40.3,18.8,48,244,"C",28.2
54,21.6,33.2,15.5,27,177,"C",21.9
23,20.2,47.2,8.1,54,209,"C",23.5
29,21.3,44.2,12.6,43,194,"C",26.1
55,21.2,39.3,10.1,28,124,"C",24.4
22,22.6,45.4,14.6,57,210,"C",27.1
25,26.2,35.8,5.8,43,208,"C",24.2
52,22.6,58.5,8.3,44,193,"C",29.3
50,22.5,42.3,9.9,35,209,"C",28.1
42,19.8,33.2,21.5,34,232,"C",26.1
34,10,35.3,16.4,38,212,"C",23.5
39,19.5,46.6,7.2,45,218,"C",22.8
35,19.2,30.9,8.4,41,185,"C",22.8
63,17.6,35.6,6.1,44,182,"C",23.9
21,12.9,41,10.5,53,153,"C",22.6
56,26.1,24.5,8.5,41,163,"C",23.2
21,22.7,43.9,19.7,45,240,"C",24.6
25,24.5,36.1,6.7,53,204,"C",23.8
45,19.8,48.3,6.2,36,235,"C",24.2
46,23.6,30,12,40,192,"C",24.4
60,24.4,40.5,7.2,31,180,"C",26.8
21,23.2,34,13.2,48,166,"C",23.8
22,24.4,40.7,15.2,46,225,"C",23.2
28,23,46.9,10.9,46,211,"C",24.2
30,12.6,41,8.7,39,183,"C",22.2
58,22.2,45.1,9.5,33,197,"C",24.1
22,14.9,37.8,9.4,50,199,"C",20.4
58,12.9,41.9,13.8,28,197,"C",20.3
39,13.4,46.9,6.8,45,201,"C",23.6
22,13,33,8.1,47,225,"C",20.8
64,19.2,35.8,5.8,22,162,"C",22.8
59,25.9,43.1,19.2,23,153,"C",24.9
29,11.3,37.3,12.1,44,244,"C",20.2
28,20.6,53.2,8.7,57,217,"C",24.9
39,19.8,42.9,17.8,36,217,"C",23.5
41,23.5,40.4,17.8,32,202,"C",24.8
25,17,40.9,19,41,191,"C",21.7
32,20.7,54.6,14.9,40,226,"C",25.2
23,17.5,36.6,11,48,236,"C",24.6
24,12,29.3,10.2,62,239,"C",20.2
26,24.9,39.1,19,59,227,"C",26.9
28,15.8,44.1,24.4,43,188,"C",25.7
22,19.2,41.6,10.2,48,199,"C",22.8
21,16.1,43.6,9.1,43,215,"C",23.7
28,20.8,44.5,11.6,40,186,"C",26.7
37,19.9,43.8,4.6,52,190,"C",22
48,24.3,41.1,5.3,39,222,"C",24.4
41,22.3,42.7,8.5,42,223,"C",27.1
27,19.7,45.6,6.7,46,203,"C",25.6
34,22.6,40.3,9.1,44,234,"C",25.6
29,20.9,42.7,19.5,44,251,"C",28.3
50,26,38.3,22.8,28,227,"C",24.9
53,20.8,42.2,10.9,60,192,"C",27.6
21,16.1,43.6,24,42,230,"C",19.4
24,23.6,51.1,18.9,43,223,"C",28.5
44,16.2,43,8.4,49,210,"C",25.5
49,22.1,42,20.2,44,218,"C",24.2
62,22.3,34.2,17,23,185,"C",21.4
36,17,41.6,22.1,54,239,"C",23.8
22,17.2,47,7.4,47,237,"C",26
23,23.3,51.2,8.2,42,241,"C",29.1
22,23.8,46,20.7,49,226,"C",24.8
23,20.8,39.8,16.1,50,231,"C",25.6
64,17.5,37.3,19.1,29,168,"C",23.5
60,21.2,43.7,16.8,37,190,"C",26.2
31,22.3,40,23,37,211,"C",24.3
24,12.6,41.7,13.3,46,236,"C",20.2
60,21.8,32.1,5,35,165,"C",22.1
28,11.1,41.4,10,56,250,"C",23.5
55,17.8,31.8,5.4,33,199,"C",25.1
33,18.7,46.6,7.5,48,223,"C",22.5
62,21.1,35.2,8,20,171,"C",21.5
60,25.6,39.8,18.9,28,184,"C",23.8
24,20.4,37.3,16.4,45,191,"C",22.1
25,19.4,47.7,12.9,52,206,"C",24.4
22,21.7,35.6,10.2,51,198,"C",25.1
25,9.8,33.6,20.1,48,185,"C",22.7
49,19.3,55.5,13,35,205,"C",26
22,19.3,40.6,10.8,58,191,"C",23.4
26,24.7,36.7,23.1,39,215,"C",23.2
60,26.1,42.6,7.8,32,198,"C",24.6
24,15.9,46,6.2,45,167,"C",24.5
58,23,33.5,4.3,24,186,"C",22.5
26,17.1,40.7,17.2,52,240,"C",25.3
60,14.2,25.4,15.6,20,159,"C",20.4
26,12.4,53.2,19.3,47,227,"C",27
30,24.2,63.6,19.6,51,245,"C",29.6
41,22.5,55.1,17.36,39,236,"C",25.8
30,25.2,39,17.4,43,213,"C",23.7
37,17.1,40.7,9.1,41,220,"C",20.8
27,19.3,56.9,8.4,45,209,"C",24.9
37,19.4,46.3,17.4,37,224,"C",25.7
32,20.9,51.2,24.2,36,193,"C",24.6
25,18.7,38.9,10.2,48,245,"C",27.3
22,21.88911,53,15.5,50,160,"C",26.4
63,22.6,31.4,12,24,178,"C",21.9
27,20.8,42.6,18.3,58,218,"C",27.7
59,17.6,42.7,15.2,23,178,"C",21.7
51,13.2,30.8,9.2,46,212,"C",20.1
60,23.1,46.9,8.6,48,211,"C",26.8
22,20.1,38.5,19.1,45,185,"C",22.6
55,20.9,39.4,14.4,27,189,"C",22.7
50,24.9,42.5,13,36,198,"C",25.1
50,23.2,43.1,5.5,39,197,"C",27
23,12.7,42.1,19.2,57,218,"C",22.2
26,15.2,48.2,14.6,44,223,"C",23.5
55,23.2,38.9,14.6,33,191,"C",23.2
27,18.9,45.1,16.3,56,211,"C",22
27,18.6,35.3,14.1,50,230,"C",24.7
24,19,41.3,14.1,55,229,"C",22.4
28,24.9,48.2,6.3,49,226,"C",27.5
26,22.3,52.7,11.6,44,192,"C",25.9
61,22.3,30.9,6.3,24,165,"C",25.1
57,15.9,41.5,7.2,33,182,"C",22.3
29,25.2,43,8.1,42,178,"C",24.7
39,24.8,37.7,8.6,46,205,"C",25.9
21,12.9,40.4,22.2,57,249,"C",24.3
33,28.9,39.8,7.8,40,199,"C",23.5
33,24.6,37.4,10.5,47,194,"C",25
48,6.2,56.9,16.8,39,219,"C",23.8
60,25,39,4.5,24,174,"C",24.8
35,14.8,49,9.1,49,203,"C",23.6
43,20.7,48.4,15.6,48,211,"C",25.9
58,20.9,44.4,7.4,35,190,"C",25
21,26.6,42.4,8.6,47,196,"C",24.7
30,19.4,43.5,11.2,47,205,"C",22.5
44,22.5,52.1,11.3,41,195,"C",24.6
24,16,60.6,16.5,52,235,"C",23.1
60,26.7,38.7,10.9,31,213,"C",22.6
40,21,55.1,16,41,186,"C",26.1
37,22.9,41.2,16.8,45,210,"C",24.6
38,21,43.2,8.7,44,224,"C",26.4
21,19.1,36.1,20.6,61,233,"C",25.6
35,19.7,40,18.3,46,209,"C",25.8
21,19.9,36.7,21.9,50,229,"C",22.8
37,19.8,43,17.7,46,202,"C",24.1
36,13.8,50.8,19.1,64,252,"C",23.2
52,24.5,43,10.9,27,204,"C",24.7
41,23.1,39,15.1,33,214,"C",24.6
45,22.6,55.3,9,36,243,"C",27.6
24,19.9,36.9,9.7,46,222,"C",21.3
59,28.6,36.1,4,37,149,"C",24.4
27,18.1,40.5,26.9,40,227,"C",20.7
28,23.6,40.8,5.6,38,213,"C",20.5
28,19,42.7,7.4,52,204,"C",25.2
31,24.5,52.9,5.8,54,193,"C",25.2
34,20.2,47.6,27,55,237,"C",28.1
21,8.7,29.6,24.2,57,255,"C",18.6
36,18.8,38.3,4.8,35,210,"C",23
27,22.7,40.1,18.2,49,228,"C",22.5
31,23.2,51.1,15.1,40,240,"C",27
32,19.1,48.1,8.4,40,190,"C",25.2
25,13,43.7,6.6,50,229,"C",21.4
38,19.2,31.7,9.1,35,204,"C",26.2
54,28,38.4,7.7,26,169,"C",24.8
44,19.7,43.3,21.2,48,221,"C",25.3
28,24.2,50.1,11,62,245,"C",26.5
22,18,33.9,16.7,55,242,"C",22.8
22,13.5,45.4,14.8,47,211,"C",21.8
51,24.4,41.1,7.6,36,213,"C",25.8
32,24,53,14.7,42,252,"C",24.7
32,21.7,53.8,23.6,52,224,"C",29.9
22,16.7,40,10,48,228,"C",23.1
33,15.6,41.4,9.6,38,235,"C",20.2
31,19.1,51.5,14.7,39,194,"C",21.5
43,20.62151,43.3,20.1,57,212,"C",26.6
24,13.5,42.7,11.3,42,203,"C",22.4
42,19,44,19.1,50,229,"C",25.6
58,24.1,42.1,10.5,27,164,"C",22.5
61,22.7,45.3,14.1,36,212,"C",22.7
25,16,46.8,13.5,48,231,"C",20.6
36,12.7,47.2,17.9,55,242,"C",23.5
62,19.8,38.8,3.5,29,192,"C",23.9
30,24.5,54.7,13.9,41,227,"C",29.6
24,17.2,34.8,27.3,50,259,"C",24.1
22,18.9,30.9,13.7,60,196,"C",23.6
37,19.6,39.6,7.6,44,194,"C",21.7
21,17,44,10.8,56,206,"C",21.2
30,13.9,42.5,7.2,48,234,"C",20.8
23,10.9,35.9,11,55,247,"C",23.4
34,23.4,33.2,12.9,37,195,"C",21.6
24,18.5,65.2,9.5,52,247,"C",26
59,22.9,38.8,17.3,40,187,"C",25.6
21,25,32.6,16.8,46,197,"C",23.8
46,22.6,38.5,7.9,44,206,"C",23.1
22,17,35.7,8.1,58,172,"C",22.2
43,17.7,56.4,10.5,49,221,"C",26.7
23,25.1,37.4,18.8,46,195,"C",23.3
27,22.5,34.9,15.5,51,214,"C",22.9
34,20.3,49.3,12.2,38,235,"C",24.4
49,19.9,47.6,20.3,51,221,"C",24.5
24,18.2,52.7,22.1,44,231,"C",25
63,24.9,35.3,15,33,180,"C",26.1
50,17.1,45.2,18.2,36,182,"C",23.4
61,28,30.1,4.5,19,175,"C",22.3
50,27.5,37.8,25.4,38,175,"C",24.6
29,13.7,44.5,17.1,44,222,"C",21.7
61,20.2,32.6,8.8,21,170,"C",24.6
25,19.5,35.6,14.6,46,177,"C",23.1
25,10.8,39.7,9.4,59,247,"C",23.4
24,20.3,43.1,18.3,59,237,"C",27
21,12.5,31.9,21.4,64,233,"C",22.3
23,21.8,43.5,20,68,178,"C",24.8
25,21.6,47.6,21.2,43,222,"C",25.4
32,19.4,41.9,19.7,48,245,"C",25
22,16.7,53.1,13.6,50,260,"C",28
29,17.2,51.2,8.8,49,224,"C",24.4
54,20.9,48.1,19.2,35,210,"C",25.5
34,21,36.8,8.4,46,194,"C",22.8
22,13.8,42.7,8.2,51,239,"C",22.8
23,12.5,45.2,12.7,51,225,"C",21.9
24,23.3,41.9,11.6,48,220,"C",22.9
21,18.3,38.3,10.8,46,222,"C",26
58,24.4,34.3,9,30,171,"C",26.2
21,15.8,34.1,7.2,43,251,"C",25.9
21,14.1,33.1,8.2,52,225,"C",20.7
28,19.2,54.3,27.1,54,230,"C",26.2
22,16.4,35.1,15.8,54,220,"C",20.6
40,25.4,44.6,5,41,195,"C",24.9
21,20.6,42.6,8.9,44,243,"C",27.2
29,14.9,48.2,7.6,49,232,"C",20.1
61,20.2,37.9,12.9,23,163,"C",21.6
23,14.3,36,16.7,50,186,"C",21.5
52,22.3,43.2,8.6,41,185,"C",24.4
29,19,52.6,9,43,223,"C",23.8
21,15.8,44.4,9.6,49,239,"C",21.4
24,18.5,41.8,19.3,56,225,"C",23.1
24,19.4,47.2,12.8,47,225,"C",23
24,11.5,56.8,23.6,60,283,"C",22.6
34,18.2,36.8,15.7,49,202,"C",23.1
28,23.3,51.3,18.4,51,189,"C",24.2
64,15.4,37.7,4.1,28,193,"C",22.7
30,15.1,41,6.8,57,222,"C",19.8
22,7.8,45.3,13.2,42,220,"C",19.4
28,22.1,42.9,15.8,43,237,"C",24.6
23,19.4,34,9.6,53,187,"C",23.5
47,16.9,48,8.8,31,186,"C",23.7
27,22.9,35.6,7.7,44,232,"C",26.9
28,14,50.9,12.7,54,212,"C",23.6
27,16,44.5,7.5,55,255,"C",23.4
34,22.1,57.2,23.3,57,246,"C",25.8
38,22.5,42.7,4.6,37,235,"C",24.2
54,21.7,32.1,14.8,35,210,"C",22.4
27,19.3,53.9,14.2,57,206,"C",26.7
25,21,38.8,14.2,56,235,"C",23.4
28,20.6,39.1,8.4,64,200,"C",23.3
27,13.2,41.6,13.2,41,207,"C",21.5
28,20.3,41.7,9,53,207,"C",26.7
28,18.8,40.6,13.5,52,248,"C",24.8
27,15,40.1,9.2,44,211,"C",25.5
38,16.9,46.8,5.9,40,198,"C",22
31,17.4,49,9,57,257,"C",20.9
21,7.9,43.5,19.7,51,231,"C",20.2
44,20.6,34.4,11.3,47,216,"C",26.2
60,23,40.4,9.9,29,197,"C",27.4
43,11,41.5,9.3,40,226,"C",20
43,27,46,32,32,195,"C",22.8
24,20.5,40.3,12.4,48,219,"C",22.2
21,16.5,50.2,9.6,57,241,"C",27.3
42,21.5,54.2,11,36,216,"C",23.4
34,19.5,48.7,12.3,41,225,"C",22.8
21,17.3,33.8,25.2,53,232,"C",21.1
44,19,43,19.5,48,235,"C",25.6
39,28.1,47.9,9.5,37,198,"C",22.8
25,25.9,34.7,5.7,47,193,"C",22.3
25,22.4,48.7,6.8,48,206,"C",26.3
26,12.9,55.7,5.7,45,222,"C",21.4
58,23.2,32.6,7.4,31,109,"C",22.1
47,24.5,43.4,16.7,32,193,"C",25.2
22,13.1,50.4,20.4,53,230,"C",23.9
25,19.1,42.3,11.2,42,220,"C",21.8
63,17.6,38.1,4.5,28,162,"C",24.4
29,16.3,35.4,6.8,47,231,"C",21.1
26,21.8,39.2,17.8,45,235,"C",23.9
35,21.2,34,11.7,41,213,"C",25
33,20.6,47.6,14.5,51,252,"C",27.7
32,7.5,23.6,11.1,47,213,"C",19.7
22,13.8,49.1,11,59,214,"C",20.9
26,19.5,40.1,18.1,51,241,"C",23.3
22,12.8,33.4,13.6,50,203,"C",19.1
22,18.7,43.2,11.4,45,242,"C",20.4
49,22.1,44.9,5.7,48,195,"C",23.4
23,15,40,14.3,52,218,"C",22.3
28,24.7,39.3,10,42,225,"C",26.2
21,16.7,36.4,8.7,68,240,"C",21.9
43,20.6,50.7,10,52,215,"C",28
52,14.4,47.3,5.8,36,213,"C",19.1
39,20.1,40.6,9,50,184,"C",25.9
61,20.6,41.3,13.1,22,172,"C",21.1
40,23.7,41.2,14.3,46,180,"C",26.4
41,14.5,46.1,5.6,45,201,"C",22.3
47,16.7,37.8,5.6,39,207,"C",19.1
23,19.2,36.8,18,59,240,"C",23.5
60,20.9,57,15.9,48,211,"C",24.2
21,22.7,44.1,16.6,44,241,"C",22.7
63,23.9,44.4,15.2,21,166,"C",24.8
32,19.5,46.7,20.6,54,227,"C",24.1
21,22.4,37.2,10.3,43,182,"C",24.1
47,21.4,46,19.7,35,206,"C",24.4
26,18.8,44.8,17,41,234,"C",23.7
30,26.6,51.4,7.1,52,181,"C",24.3
22,18.2,44.5,18.8,43,213,"C",23.7
55,20.7,39.9,6.9,30,209,"C",22.8
61,22.7,41.1,11.4,23,188,"C",22
24,22.9,41.2,18.7,44,198,"C",23.7
34,19.1,43.7,11.3,60,210,"C",27.3
29,25.3,41.8,6,61,207,"C",22.9
22,14.9,43.8,13.1,52,231,"C",20.9
55,23,35.6,13.5,35,181,"C",25.6
57,25.7,43.5,16.5,33,183,"C",23.5
54,22.7,43.2,7.7,30,144,"C",25.6
35,22,50.4,12.8,51,222,"C",25
60,22.4,27.1,5.3,20,180,"C",21.7
39,20.3,46.4,14.5,38,222,"C",21.1
22,20.3,38.3,13.5,52,236,"C",24.4
36,10.8,37.4,20.6,71,202,"C",23.6
41,17.4,37.8,13.1,48,226,"C",25.4
26,20.2,37.9,11,40,232,"C",28
24,19.6,32,6.8,43,216,"C",23.9
21,16.8,42.4,13.4,52,239,"C",22.5
34,22.9,39.1,17.5,53,224,"C",25.6
22,17.4,37.3,14.4,48,170,"C",20.9
29,21.3,47.9,9.7,59,194,"C",27.8
26,20,36.1,9.2,49,248,"C",22
27,18.2,58.1,11.1,45,235,"C",27
31,14.1,47.6,24.7,58,225,"C",24.1
41,22.8,49.8,18.5,33,226,"C",24.3
56,24.2,34.6,4.3,34,178,"C",26.2
54,17.8,41.7,7.3,28,176,"C",23.5
23,21.7,42.7,11,64,162,"C",23.4
24,21.2,39.9,35.2,43,295,"C",25.1
44,29.4,38.6,15.9,32,190,"C",24.5
55,24.6,39.4,13.7,41,195,"C",24.7
27,25.3,44.5,7.6,57,194,"C",24.6
59,20.1,38.6,15.8,35,195,"C",24.8
38,22.4,42.4,7.7,38,195,"C",21.7
21,12.2,40.7,21.2,52,265,"C",20.4
22,16.3,43,8.4,53,251,"C",22.9
31,17.8,52.5,7.1,53,230,"C",25.3
33,22.3,45.9,9.3,45,222,"C",24.2
23,12.8,43.7,20.4,44,244,"C",25.9
43,24.6,43.9,14.7,46,211,"C",23.9
28,13.7,56.2,12,54,179,"C",25.2
49,22.6,41.5,14,30,214,"C",24.5
38,21.1,56.8,17,45,205,"C",23.9
49,14.6,45.9,20,30,192,"C",22.2
35,23.8,50.9,4.8,33,232,"C",26.9
23,10.8,53.5,7.6,60,238,"C",24.2
54,15.9,46,7.5,44,181,"C",18.9
25,17.3,34.5,6.7,46,203,"C",22.2
37,18.6,42,18,46,240,"C",24.9
57,21.1,32.3,10.3,25,162,"C",18.8
22,17.1,60.3,7.6,53,204,"C",24
28,24.2,36.2,6.6,43,220,"C",23.7
27,20.3,43.1,18.3,67,226,"C",28.7
22,17,31.1,9.7,60,211,"C",20.8
23,24.8,46.1,18.4,46,222,"C",25.8
35,23.5,48,12.8,38,213,"C",28.6
21,16,38.3,18.1,47,227,"C",23.1
44,11.1,37.4,11.1,45,210,"C",22.5
22,15.7,38.3,18.1,44,219,"C",22.3
38,22.9,41.4,8.8,50,226,"C",25.5
56,22.3,38,7.9,32,183,"C",22.5
43,15.6,43.1,16.4,35,226,"C",23.6
21,14.6,43.6,16,42,237,"C",21
53,18.9,37.6,7.3,40,194,"C",23.7
24,21.8,38,9.6,42,220,"C",23.3
21,17.5,48.8,7.7,58,155,"C",25.5
29,22.9,51.6,8.1,56,223,"C",27.7
31,18.1,31.4,15,45,198,"C",23.1
64,11.9,28.4,9.8,21,183,"C",18.8
53,21.9,41.7,5.5,39,198,"C",24.5
21,17.8,41.3,22.4,47,226,"C",22.1
25,15.6,51.2,18.6,42,224,"C",21.3
24,15,33.4,23,45,240,"C",23.5
24,16.5,48,10.5,51,231,"C",23.1
23,17.2,54.2,8,51,235,"C",25.8
33,18.7,47,16.4,39,243,"C",23.5
46,21.1,45.3,12.4,38,193,"C",24
32,23.6,61,7.6,51,204,"C",28.5
33,21.7,54.4,15.5,43,226,"C",24.6
21,13.3,32.3,7.7,49,215,"C",22.2
30,21,45.1,5.7,55,214,"C",23.9
21,22.2,39.1,19.5,46,226,"C",22.9
34,24.1,40,10.3,38,236,"C",27.5
23,23.3,55.2,21.6,54,219,"C",27
39,18.1,41.7,5.5,35,237,"C",21.9
25,8.8,36.3,17,55,248,"C",22.7
40,11.5,45,13.4,34,194,"C",23.1
24,18.8,38.6,7,56,196,"C",22.5
44,19.9,34.9,10,42,214,"C",25.4
26,22.3,44,27,45,206,"C",22.6
21,20.6,45.8,8,45,210,"C",23
24,17.5,45.8,7.2,44,247,"C",27
59,19.2,40.6,12.2,30,179,"C",23.1
39,17.8,41.5,16.1,43,227,"C",24.4
21,21.2,52.3,18.2,55,254,"C",24.7
26,19.3,45.9,9.8,52,211,"C",26.2
38,24.1,41.6,7.8,39,208,"C",22.8
37,24.2,48.2,16.6,51,233,"C",26.6
23,12,41.9,11.3,44,227,"C",19.5
21,22.1,39.4,12.2,46,200,"C",22.8
24,13,36.7,18,46,233,"C",22.2
27,17.8,56.1,14,56,240,"C",25.3
21,20.1,48.1,13.1,44,218,"C",25.7
27,12.2,40.9,16.1,39,229,"C",21.7
29,20.4,44.1,6.2,43,211,"C",21.3
28,15.7,48.7,9.1,48,234,"C",24.4
54,23.5,43,15,31,183,"C",23.3
42,23.2,48.7,15.8,33,225,"C",24.5
23,18.9,42.9,7.1,46,217,"C",21.3
24,20.3,42.7,18.2,45,218,"C",24.6
23,9.8,39.7,7.8,46,221,"C",17.8
28,17.8,49.4,6.8,45,220,"C",28.4
55,18.4,46,18.5,28,192,"C",23
31,17.1,51.3,15.3,60,250,"C",26.5
38,8.1,48,13.2,38,246,"C",19.4
40,22.1,54.9,14.1,58,197,"C",24.4
50,19.8,42.7,8,33,226,"C",24
27,24.7,40.3,20.1,56,220,"C",24
25,14,55.1,12.5,38,180,"C",23.2
34,20.4,50.6,24.4,40,229,"C",24.6
48,24.3,41.2,23,49,187,"C",28.1
28,21.1,50.1,9,61,213,"C",24.3
22,20,29.3,18.7,56,212,"C",20.7
28,15,50.5,19.1,46,196,"C",25.8
60,19.8,24.4,5,42,150,"C",20.8
34,22.2,31,16.7,43,198,"C",23
47,26.9,34.5,15.4,34,214,"C",23.3
27,24.8,37.8,9.2,43,214,"C",24.4
40,23.9,47.8,12.7,32,247,"C",25.1
24,12.8,45.7,12.7,54,196,"C",24.1
26,24.4,48.7,7.8,59,185,"C",26.5
26,17.8,48.2,11.5,45,215,"C",22.6
31,25.1,36.2,6.6,44,199,"C",23.4
29,19.3,36.5,13.7,53,229,"C",23.7
27,24,39.9,13.5,56,188,"C",23.8
63,26.3,40.7,18,35,151,"C",23.2
51,16.9,46.4,7.3,46,214,"C",24.2
63,22.4,34.5,13.2,19,121,"C",23.3
31,23.1,36.3,13.9,35,225,"C",22.7
43,24.5,40.8,18.4,38,206,"C",26.8
26,14.7,35.4,14.6,57,231,"C",22.2
60,24.1,44.3,13,25,178,"C",23.8
34,23.2,41.7,15.8,45,195,"C",24.2
23,23.2,43.3,11.1,45,227,"C",22.5
35,8.1,41.3,23.2,55,246,"C",22.3
26,21.4,33.8,17.6,53,184,"C",23.2
21,10.7,52,9,67,303,"C",23.5
22,20.5,44.5,10.7,52,211,"C",22.7
27,21.6,51.4,13.1,45,235,"C",25
42,19.6,36.3,17.4,51,141,"C",22.7
38,23.6,44.4,10.7,41,189,"C",25.3
49,18.1,50.4,23.4,48,198,"C",25.4
22,18.9,42.5,22.5,61,234,"C",24.4
28,16.3,48.2,5.4,55,225,"C",26.6
47,18.3,42.6,14.8,35,202,"C",23.8
45,21.3,40.8,10.8,45,198,"C",26.7
59,24.2,43.4,4.9,26,177,"C",25.7
30,21.8,46.2,9.1,63,226,"C",27.6
25,12.9,47.7,9,55,258,"C",23
29,24.7,33.9,6.7,50,191,"C",27.2
60,23.5,36.1,5.3,35,185,"C",27.7
50,23.9,42.3,18.8,31,197,"C",24.9
27,13.9,58.9,15.2,65,248,"C",25.4
22,29.1,33.6,19,42,230,"C",23.9
63,28.7,34.5,6.2,31,186,"C",23.7
39,22.2,41.3,8.3,34,215,"C",25
62,23.8,31.8,4.5,33,168,"C",23.4
44,27.9,43.9,10,38,210,"C",23.4
25,15.8,45.3,6,40,235,"C",21.2
60,28.7,41.9,10,22,180,"C",24.3
31,14.1,44,10.7,58,214,"C",24.1
34,16.1,35.4,21.4,53,211,"C",22.5
53,19.5,37.8,7.3,49,184,"C",24
61,21.5,39.8,6.2,31,185,"C",24.5
32,17.7,53.5,16.9,59,240,"C",25.9
26,19.3,39.7,8.2,52,218,"C",25.3
33,19.6,45.5,6.3,39,207,"C",21.1
34,16.1,49.5,21.8,61,245,"C",26.4
39,23,38.8,6.6,43,220,"C",24.9
24,20.9,51.6,10.2,52,160,"C",24.8
28,24.5,41.4,6.9,56,203,"C",24.8
48,18,33.9,5.9,33,172,"C",23.7
34,18.33787,56,12.5,48,218,"C",25.5
22,15.7,41.5,12.6,47,235,"C",24.7
28,20.7,40.9,17.6,46,0,"C",26.4
23,15,45.9,6.2,52,245,"C",24.6
30,24.1,39.9,9.6,44,227,"C",24.1
49,19.3,43.5,4.6,31,202,"C",20.9
60,18.7,35,8.6,24,172,"C",22.9
21,20,31.7,19.4,64,220,"C",24.9
21,12.9,46.6,10.7,53,255,"C",22.6
27,20.3,31.1,22.3,38,224,"C",22.9
64,21.9,31.5,3.1,34,180,"C",21.2
36,24.8,38,14.1,45,227,"C",26.2
50,24.5,36.6,6.3,31,209,"C",24.9
46,9,40.5,7.3,33,178,"C",22.1
28,27.8,46.6,18,39,200,"C",24.9
24,18.6,40.9,21.7,57,204,"C",23.1
36,24.2,42.6,6,38,186,"C",24.9
23,19.5,50.6,20.2,50,221,"C",23.5
22,24.9,41,9.3,53,196,"C",23.4
47,17.2,51.9,14.2,32,222,"C",23.1
25,19.2,36.7,18.5,49,209,"C",23.6
31,18.3,40.6,6,49,190,"C",23.2
54,18.1,35.8,14.6,48,221,"C",24.7
31,17,38.4,15.4,36,236,"C",20.8
27,22.9,46,12.2,39,230,"C",24.8
31,15.9,49.8,22.4,40,226,"C",22.7
62,20.2,34.6,5.4,20,159,"C",21.3
21,23.5,40.5,17,54,193,"C",24.2
50,14,33,7.9,31,210,"C",20
64,25.5,31.7,5,31,188,"C",23.4
28,18.3,53.9,8.4,55,182,"C",25
21,15.8,24.7,21,45,195,"C",23.4
26,21,44.6,9.6,55,230,"C",22.9
22,15,49.2,9.5,49,225,"C",27.2
25,17.8,27.5,10.9,40,218,"C",23.1
45,24.2,39,9.5,44,194,"C",24
30,24.6,48.6,7,61,221,"C",25.7
21,19.9,38.1,11,43,205,"C",22
27,18.1,30.1,8.8,42,217,"C",22.1
26,23,43.5,20,41,227,"C",26.6
28,20.6,41.3,5.8,58,214,"C",24.2
62,25.5,32.6,9,23,169,"C",21.9
28,16,41.7,15.7,53,218,"C",23.7
28,14.4,58.1,17.9,40,216,"C",21.2
46,24,55.1,21.4,35,220,"C",23.1
49,16.1,48.2,17.2,32,202,"C",25.8
28,15.1,45.6,17.6,61,231,"C",24.6
27,22.2,38.2,16.6,50,211,"C",24.5
47,15,55.1,14.2,31,215,"C",27.3
23,19.5,54.5,16.3,58,244,"C",25
22,14.4,36.1,12.2,63,211,"C",22.4
26,22.8,43.9,5.4,46,96,"C",23.1
52,14.4,47.2,6.9,40,220,"C",24.6
49,14.9,50.7,8.4,43,230,"C",22.2
35,17.4,44.4,6.9,42,218,"C",21.6
22,6.5,48.3,10.8,55,220,"C",20.1
31,17.8,39.3,5.7,36,205,"C",24.2
58,22,34.8,19.1,27,202,"C",22.6
34,12.7,48.4,7.9,51,265,"C",22.8
28,14.3,33.1,16.1,62,187,"C",20.8
23,15.2,54.1,7.8,43,212,"C",21.9
21,21.7,36.1,18.5,52,213,"C",20.3
55,28.2,45.6,8,28,178,"C",24.3
60,23.1,38.8,6.3,35,175,"C",27.9
21,28.6,40,25.1,50,248,"C",23.9
28,20.9,51.3,16.7,51,218,"C",30.3
48,17.2,47.1,8.2,43,205,"C",25
38,15,48.3,19,41,226,"C",24.8
38,18.2,38.1,10,38,233,"C",22.6
63,22.2,32.1,7.3,42,178,"C",22.5
21,21.2,58.2,18.8,55,212,"C",27
32,22.6,44.8,5.9,58,221,"C",26
26,23.2,48.8,15.9,39,223,"C",24.6
29,24,52.5,8.8,52,185,"C",24.2
57,22.1,38.5,4.6,47,225,"C",24.1
29,24.1,46.4,7.2,47,234,"C",24.3
63,8.3,28.3,11.7,22,161,"C",20.8
61,21.5,39.1,4.1,40,158,"C",25.4
41,17.4,51.7,11.3,32,220,"C",22.1
28,21.3,45,7.1,42,211,"C",23.7
32,17.4,41.9,13.9,38,203,"C",24.5
52,24.7,39.1,10.9,31,170,"C",28.7
45,16.5,44.7,8.7,30,211,"C",21.6
27,13.5,53.5,32,56,262,"C",24.5
22,22.7,50.4,9.4,50,190,"C",27.3
34,16.6,57.4,12.2,59,253,"C",24.1
